Filename	word	vowel	F1	F2	F3	Duration	Timepoint	VowelPercent	MeasType
28_country	Unlabeled	uɛ	460.45374459732324	1649.2809858811743	2389.2368484503477	390	9	72.73	auto
28_country	Unlabeled	uɛ	423.8190710621442	531.9767113349864	2312.5767978731037	390	10	81.82	auto
28_country	Unlabeled	uɛ	451.513911370341	1972.399728790436	2343.8994300202407	390	11	90.91	auto
28_country	Unlabeled	uɛ	651.469797455376	1914.3526324391855	2306.2347359011624	390	12	100.00	auto
29_moon	Unlabeled	uɛ	266.3705584110085	1803.2886696663027	2156.152691764158	410	1	0	auto
29_moon	Unlabeled	uɛ	248.17617246149618	1661.5651484297869	2039.7255915068786	410	2	9.09	auto
29_moon	Unlabeled	uɛ	268.61815876689417	1532.4299210281044	1986.765359803484	410	3	18.18	auto
29_moon	Unlabeled	uɛ	332.28861016555254	1780.434097419195	2029.5984106266703	410	4	27.27	auto
29_moon	Unlabeled	uɛ	383.55483484509017	1544.2282428915344	2185.011182509755	410	5	36.36	auto
29_moon	Unlabeled	uɛ	426.2853253090468	701.2072168600581	2238.018347311219	410	6	45.45	auto
29_moon	Unlabeled	uɛ	432.65032151298385	1247.9550078391444	2303.618788437397	410	7	54.55	auto
29_moon	Unlabeled	uɛ	426.22121869592206	1774.7770587084603	2530.2224911622966	410	8	63.64	auto
29_moon	Unlabeled	uɛ	360.4906436918397	1058.0586578886828	2360.5336278022874	410	9	72.73	auto
29_moon	Unlabeled	uɛ	381.86917631242056	2068.065838079613	2393.699606332476	410	10	81.82	auto
29_moon	Unlabeled	uɛ	406.8559491791673	1961.5979334254475	2455.309636480478	410	11	90.91	auto
29_moon	Unlabeled	uɛ	654.7446174744089	2059.056069715199	2413.2682993289777	410	12	100.00	auto
30_talent	Unlabeled	ai	855.5002918218117	1605.6943599951346	2290.150452179367	256	1	0	auto
30_talent	Unlabeled	ai	643.8844593662749	839.0414434818574	1629.7103682208035	256	2	9.09	auto
30_talent	Unlabeled	ai	839.0965847710356	1587.8071224358027	1990.1171526997168	256	3	18.18	auto
